trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.3, 'e': 0.7949999999999999}",35,0,-120.0288067648753,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
106,False,"{'a': 0.3, 'e': 0.7939999999999999}",25,8,-162.6378210686316,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 3}",1
107,False,"{'a': 0.3, 'e': 0.7929999999999999}",35,0,-23.491731193373983,"{0: 27, 1: 5, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.3, 'e': 0.7919999999999999}",20,6,-81.82252073545396,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
109,False,"{'a': 0.3, 'e': 0.7909999999999999}",30,0,-120.21609378258454,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
110,False,"{'a': 0.3, 'e': 0.7899999999999999}",20,0,-65.1540869698849,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.7889999999999999}",25,0,-88.08075814194288,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.3, 'e': 0.7879999999999999}",20,0,-83.3710234003487,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
113,False,"{'a': 0.3, 'e': 0.7869999999999999}",30,0,-287.6555520189405,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 6}",0
114,False,"{'a': 0.3, 'e': 0.7859999999999999}",20,0,-52.49781444015168,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
115,False,"{'a': 0.3, 'e': 0.7849999999999999}",25,0,-89.47463787107397,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
116,False,"{'a': 0.3, 'e': 0.7839999999999999}",25,4,-102.3961165886193,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 1}",1
117,False,"{'a': 0.3, 'e': 0.7829999999999999}",20,0,-138.93528487355377,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
118,False,"{'a': 0.3, 'e': 0.7819999999999999}",20,0,-66.74436035741371,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.3, 'e': 0.7809999999999999}",20,0,-103.17577775293668,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
120,False,"{'a': 0.3, 'e': 0.7799999999999999}",25,0,-115.96242656983574,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
121,False,"{'a': 0.3, 'e': 0.7789999999999999}",20,0,-27.409068010277203,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.3, 'e': 0.7779999999999999}",20,3,-35.13758540460545,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.3, 'e': 0.7769999999999999}",30,0,-84.2458957931021,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
124,False,"{'a': 0.3, 'e': 0.7759999999999999}",25,0,-164.1172119222932,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
125,False,"{'a': 0.3, 'e': 0.7749999999999999}",20,2,-25.749094291465035,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.7739999999999999}",30,0,-98.14570790825837,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
127,False,"{'a': 0.3, 'e': 0.7729999999999999}",25,6,-98.64570854925365,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
128,False,"{'a': 0.3, 'e': 0.7719999999999999}",20,0,-111.94387654813603,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.3, 'e': 0.7709999999999999}",30,7,-39.81628588283049,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.7699999999999999}",20,0,-77.64337227066045,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
131,False,"{'a': 0.3, 'e': 0.7689999999999999}",20,0,-79.75844552305534,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.3, 'e': 0.7679999999999999}",25,5,-24.209090999304433,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.7669999999999999}",30,0,-78.59583616733799,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
134,False,"{'a': 0.3, 'e': 0.7659999999999999}",20,0,-31.902184145744794,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
135,False,"{'a': 0.3, 'e': 0.7649999999999999}",25,0,-189.21991128791572,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
136,False,"{'a': 0.3, 'e': 0.7639999999999999}",20,1,-120.99077283112395,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 3}",1
137,False,"{'a': 0.3, 'e': 0.7629999999999999}",20,9,-38.706548910471106,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.3, 'e': 0.7619999999999999}",30,8,-36.033304162248704,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.7609999999999999}",20,13,-9.642869147313272,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.7599999999999999}",20,0,-69.53435365708583,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
141,False,"{'a': 0.3, 'e': 0.7589999999999999}",25,0,-52.20476590055064,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.3, 'e': 0.7579999999999999}",25,0,-137.38573907495112,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
143,False,"{'a': 0.3, 'e': 0.7569999999999999}",25,0,-62.38064884645306,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.3, 'e': 0.7559999999999999}",20,0,-58.97744851086718,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
145,False,"{'a': 0.3, 'e': 0.7549999999999999}",25,0,-144.66015342047234,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
146,False,"{'a': 0.3, 'e': 0.7539999999999999}",35,0,-221.88800309473766,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 5}",0
147,False,"{'a': 0.3, 'e': 0.7529999999999999}",25,0,-94.86516118130828,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
148,False,"{'a': 0.3, 'e': 0.7519999999999999}",25,0,-81.67454288990481,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.3, 'e': 0.7509999999999999}",30,0,-183.10256703287152,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
150,False,"{'a': 0.3, 'e': 0.7499999999999999}",25,16,-37.958674448901505,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.3, 'e': 0.7489999999999999}",30,0,-190.25786354718767,"{0: 19, 1: 3, 2: 2, 3: 3, 4: 3}",1
152,False,"{'a': 0.3, 'e': 0.7479999999999999}",25,17,-6.774040759850628,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.7469999999999999}",20,0,-22.951035083553258,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
